Player,Scores
Hassan Whiteside\whiteha01,-251.71273478703097
Brook Lopez\lopezbr01,-183.02546201610085
Jonathan Isaac\isaacjo01,-145.27118133957848
Anthony Davis\davisan02,-127.13284169935086
Myles Turner\turnemy01,-114.68714545887288
Robert Covington\covinro01,-112.60717032714966
Mitchell Robinson\robinmi01,-107.00481351054405
Rudy Gobert\goberru01,-96.31470369153871
Kristaps Porziņģis\porzikr01,-91.90858881153855
Jusuf Nurkić\nurkiju01,-81.82170211761719
Clint Capela\capelca01,-71.99907315082653
Jaren Jackson Jr.\jacksja02,-55.91790881413387
Andre Drummond\drumman01,-53.6580778139856
LaMarcus Aldridge\aldrila01,-46.88684514774667
Giannis Antetokounmpo\antetgi01,-46.648676050552496
Andre Drummond\drumman01,-45.053831090816104
Nerlens Noel\noelne01,-44.922241306965674
John Collins\collijo01,-44.688842448497994
Daniel Gafford\gaffoda01,-42.44337792678088
Deandre Ayton\aytonde01,-38.7473077817515
Andrew Wiggins\wiggian01,-38.381435822750376
Mo Bamba\bambamo01,-37.94181528500154
Norvel Pelle\pelleno01,-37.68657314659632
James Johnson\johnsja01,-35.8495349036134
JaVale McGee\mcgeeja01,-33.92729557877847
Jakob Poeltl\poeltja01,-33.794607374589916
Dewayne Dedmon\dedmode01,-32.065540636518975
Kevin Love\loveke01,-29.946136568068912
Joel Embiid\embiijo01,-28.324097431398815
Domantas Sabonis\sabondo01,-27.183205083599315
Jonas Valančiūnas\valanjo01,-26.109507321019958
Andre Drummond\drumman01,-22.305897209979616
Jarrett Allen\allenja01,-22.00879790037958
Daniel Theis\theisda01,-21.75648699217805
Bam Adebayo\adebaba01,-18.482631065646412
Robert Williams\williro04,-17.870681141051183
Karl-Anthony Towns\townska01,-17.720570405970978
Richaun Holmes\holmeri01,-17.153726529196174
Luka Dončić\doncilu01,-16.865984453965684
Robert Covington\covinro01,-16.09748847254713
DeAndre Jordan\jordade01,-16.033843229897695
Ian Mahinmi\mahinia01,-14.256233165941058
John Henson\hensojo01,-11.232153714242028
Nikola Vučević\vucevni01,-11.19589122318784
Maxi Kleber\klebima01,-11.152902882657276
John Henson\hensojo01,-10.741770219864208
Willie Cauley-Stein\caulewi01,-10.698209791092353
Dwight Howard\howardw01,-9.16962107358924
Thomas Bryant\bryanth01,-7.738364797109352
Julius Randle\randlju01,-6.624363220633171
Montrezl Harrell\harremo01,-6.30289396424298
Eric Mika\mikaer01,-6.212474236625528
Alex Len\lenal01,-5.859748678831295
Matisse Thybulle\thybuma01,-5.7037530366366305
Marquese Chriss\chrisma01,-5.602168041924436
Chris Boucher\bouchch01,-5.483170435689427
Steven Adams\adamsst01,-5.086865351240196
